question_text,question_lemmatize,question_lemmatize_clean
how can i date with a kpop star like sejeong,how can i date with a kpop star like sejeong,how can i date with a kpop star like sejeong
what do you do when you have so many different things to do every day and you dont know where to start i already have an assistant i delegate to and he cant do any of these things for me,what do -PRON- do when -PRON- have so many different thing to do every day and -PRON- do not know where to start i already have an assistant i delegate to and -PRON- can not do any of these thing for -PRON-,what do  do when  have so many different thing to do every day and  do not know where to start i already have an assistant i delegate to and  can not do any of these thing for 
what is to ask to hr for the hike in the it industry while changing the job,what be to ask to hr for the hike in the -PRON- industry while change the job,what be to ask to hr for the hike in the  industry while change the job
what do orthodox christians eat in the eucharist,what do orthodox christian eat in the eucharist,what do orthodox christian eat in the eucharist
what should i do after graduating in bsc physical science,what should i do after graduate in bsc physical science,what should i do after graduate in bsc physical science
if you could be reincarnated as the animal of your choice which animal would you choose and why,if -PRON- could be reincarnate as the animal of -PRON- choice which animal would -PRON- choose and why,if  could be reincarnate as the animal of  choice which animal would  choose and why
how can you make out that someone is jealous of you,how can -PRON- make out that someone be jealous of -PRON-,how can  make out that someone be jealous of 
what was demonstrated by the milgram experiment,what be demonstrate by the milgram experiment,what be demonstrate by the milgram experiment
how do you treat a earache,how do -PRON- treat a earache,how do  treat a earache
should i get a life,should i get a life,should i get a life
is oil and gas comes under gst,be oil and gas come under gst,be oil and gas come under gst
how come two subtitle files srt for the same movie can start out synchronized but by the end of the movie theyre seconds apart,how come two subtitle file srt for the same movie can start out synchronize but by the end of the movie -PRON- be second apart,how come two subtitle file srt for the same movie can start out synchronize but by the end of the movie  be second apart
what is the value of     a    a  a   a  a   a  ,what be the value of      a     a   a    a   a    a  ,what be the value of      a     a   a    a   a    a  
what are some some ways to create captivating profile pictures for online dating,what be some some way to create captivate profile picture for online dating,what be some some way to create captivate profile picture for online dating
can a person be eligible for ssn benefits if he recently became a us citizen,can a person be eligible for ssn benefit if -PRON- recently become a -PRON- citizen,can a person be eligible for ssn benefit if  recently become a  citizen
how much dept on india,how much dept on india,how much dept on india
how did birmingham steel corporation went bankrupt,how do birmingham steel corporation go bankrupt,how do birmingham steel corporation go bankrupt
is gravity dependent on mass or on density how,be gravity dependent on mass or on density how,be gravity dependent on mass or on density how
if you read ratings reviews of a business and every single review was  would you trust the reviews or would you expect    too,if -PRON- read rating review of a business and every single review be   would -PRON- trust the review or would -PRON- expect     too,if  read rating review of a business and every single review be   would  trust the review or would  expect     too
how does a  student became a pilot,how do a   student become a pilot,how do a   student become a pilot
will there be any iit institute offering  year program in  grade,will there be any iit institute offering   year program in   grade,will there be any iit institute offering   year program in   grade
what kind of abuse or neglect is it when a parent tells their child its your fault for choking yourself by putting that wire around your neck,what kind of abuse or neglect be -PRON- when a parent tell -PRON- child -PRON- -PRON- fault for choke -PRON- by put that wire around -PRON- neck,what kind of abuse or neglect be  when a parent tell  child   fault for choke  by put that wire around  neck
how can i help my father getting his pension started without paying bribe,how can i help -PRON- father get -PRON- pension start without pay bribe,how can i help  father get  pension start without pay bribe
what did deniz yücel do that led him to be charged with propaganda in support of a terrorist organization and inciting public violence,what do deniz yücel do that lead -PRON- to be charge with propaganda in support of a terrorist organization and incite public violence,what do deniz yücel do that lead  to be charge with propaganda in support of a terrorist organization and incite public violence
what are the quality of patriot,what be the quality of patriot,what be the quality of patriot
why is the devil associated with the number ,why be the devil associate with the number,why be the devil associate with the number
how do i become attractive without feeling prideful,how do i become attractive without feel prideful,how do i become attractive without feel prideful
how can i learn in office without asking seniors during my articlship,how can i learn in office without ask senior during -PRON- articlship,how can i learn in office without ask senior during  articlship
what do birds use their beaks and claws for,what do bird use -PRON- beak and claw for,what do bird use  beak and claw for
should i take segway tour in warsaw or vienna i can only choose one,should i take segway tour in warsaw or vienna i can only choose one,should i take segway tour in warsaw or vienna i can only choose one
what is actually behind the democrats sudden interest in making russia an enemy,what be actually behind the democrat sudden interest in make russia an enemy,what be actually behind the democrat sudden interest in make russia an enemy
does the british royal family still own some of the wealth they aquired during the time of east india company,do the british royal family still own some of the wealth -PRON- aquire during the time of east india company,do the british royal family still own some of the wealth  aquire during the time of east india company
how does it feel on the last day of school how does one feel when school life ends,how do -PRON- feel on the last day of school how do one feel when school life end,how do  feel on the last day of school how do one feel when school life end
what will you choose to detect microbial organism in food,what will -PRON- choose to detect microbial organism in food,what will  choose to detect microbial organism in food
what is the bullion stitch,what be the bullion stitch,what be the bullion stitch
who has the biggest head in the world,who have the big head in the world,who have the big head in the world
does teaching course pays for practicals,do teach course pay for practical,do teach course pay for practical
what the metallica song is playing in this video,what the metallica song be play in this video,what the metallica song be play in this video
which landlocked countries have substantial navies,which landlocke country have substantial navy,which landlocke country have substantial navy
what is the food chain of land animals,what be the food chain of land animal,what be the food chain of land animal
what if im intermittent fasting and i work out at ,what if -PRON- be intermittent fasting and i work out at,what if  be intermittent fasting and i work out at
can i take a full time employment with cpt under  visa and they apply for opt,can i take a full time employment with cpt under   visa and -PRON- apply for opt,can i take a full time employment with cpt under   visa and  apply for opt
is there a free computer game that allows you to train your own soldiers,be there a free computer game that allow -PRON- to train -PRON- own soldier,be there a free computer game that allow  to train  own soldier
how do i prepare for ipmat ,how do i prepare for ipmat,how do i prepare for ipmat
is the above post classified as idiotic,be the above post classify as idiotic,be the above post classify as idiotic
what can i do i am really worried my pet leopard meeka ate one of my  carat gold biscuit laying on my bed now she is roaming around my rolls royce does she want me to take her to a veterinary or will she excrete it like the cheap dogs do,what can i do i be really worry -PRON- pet leopard meeka eat one of -PRON-   carat gold biscuit lay on -PRON- bed now -PRON- be roam around -PRON- roll royce do -PRON- want -PRON- to take -PRON- to a veterinary or will -PRON- excrete -PRON- like the cheap dog do,what can i do i be really worry  pet leopard meeka eat one of    carat gold biscuit lay on  bed now  be roam around  roll royce do  want  to take  to a veterinary or will  excrete  like the cheap dog do
why do people think that designer babies are so unethical,why do people think that designer baby be so unethical,why do people think that designer baby be so unethical
why do people grow beard other than being too lazy to shave,why do people grow beard other than be too lazy to shave,why do people grow beard other than be too lazy to shave
why doesnt flipkart do international like alibabaaliexpress,why do not flipkart do international like alibabaaliexpress,why do not flipkart do international like alibabaaliexpress
how i can safeguard myself if i had signed in a blank stamp paper,how i can safeguard -PRON- if i have sign in a blank stamp paper,how i can safeguard  if i have sign in a blank stamp paper
what have you realized about this world in your life,what have -PRON- realize about this world in -PRON- life,what have  realize about this world in  life
is an asus strix  worth keeping or are there graphics cards that are better value for money i play  by the way,be an asus strix   worth keeping or be there graphic card that be well value for money i play   by the way,be an asus strix   worth keeping or be there graphic card that be well value for money i play   by the way
do narcissists have a higher rate of divorce what kind of a partner will they mostly get along with,do narcissist have a high rate of divorce what kind of a partner will -PRON- mostly get along with,do narcissist have a high rate of divorce what kind of a partner will  mostly get along with
why are universities openly discriminating against people of asian descent,why be university openly discriminate against people of asian descent,why be university openly discriminate against people of asian descent
under what circumstances can pid control be removed from differential or integral,under what circumstance can pid control be remove from differential or integral,under what circumstance can pid control be remove from differential or integral
is cannabis really one of the safest drugs,be cannabis really one of the safe drug,be cannabis really one of the safe drug
why do i feel shy low inferior anxious short breath dry throat trembling frightened and sad in front of others,why do i feel shy low inferior anxious short breath dry throat trembling frightened and sad in front of other,why do i feel shy low inferior anxious short breath dry throat trembling frightened and sad in front of other
how would you react if you found out that your spouse posted something negative or personal about you or your relationship with them on quora would you confront them would you demand that they take it down,how would -PRON- react if -PRON- find out that -PRON- spouse post something negative or personal about -PRON- or -PRON- relationship with -PRON- on quora would -PRON- confront -PRON- would -PRON- demand that -PRON- take -PRON- down,how would  react if  find out that  spouse post something negative or personal about  or  relationship with  on quora would  confront  would  demand that  take  down
is there a company that makes penny farthing bicycles today,be there a company that make penny farthing bicycle today,be there a company that make penny farthing bicycle today
is it still possible to travel by commercial passenger ship,be -PRON- still possible to travel by commercial passenger ship,be  still possible to travel by commercial passenger ship
what are the uses of calfskin,what be the use of calfskin,what be the use of calfskin
is mg soluble in water,be mg soluble in water,be mg soluble in water
how do we deal with the hurt that comes with the lies we have been told,how do -PRON- deal with the hurt that come with the lie -PRON- have be tell,how do  deal with the hurt that come with the lie  have be tell
what company is now just a shadow of its former self,what company be now just a shadow of -PRON- former self,what company be now just a shadow of  former self
im starting a club at my school and we plan on doing bake sales do we need a permit or a license,-PRON- be start a club at -PRON- school and -PRON- plan on do bake sale do -PRON- need a permit or a license, be start a club at  school and  plan on do bake sale do  need a permit or a license
do you have experience of any terrifying big cat encounters,do -PRON- have experience of any terrifying big cat encounter,do  have experience of any terrifying big cat encounter
which countries have the highest percentage of disease,which country have the high percentage of disease,which country have the high percentage of disease
how can i send money to indian account from bittrex,how can i send money to indian account from bittrex,how can i send money to indian account from bittrex
how do i get an internship easily without experience,how do i get an internship easily without experience,how do i get an internship easily without experience
i have social anxiety and want to kill myself because of it what should i do,i have social anxiety and want to kill -PRON- because of -PRON- what should i do,i have social anxiety and want to kill  because of  what should i do
can pakistan be a leading economic and military power in the world,can pakistan be a lead economic and military power in the world,can pakistan be a lead economic and military power in the world
how do you feel about stuffed pets and the people who stuffed them,how do -PRON- feel about stuffed pet and the people who stuff -PRON-,how do  feel about stuffed pet and the people who stuff 
which is the best stephen king horror book,which be the good stephen king horror book,which be the good stephen king horror book
im at the borderline of hypertension what can i do to prevent it from becoming chronic,-PRON- be at the borderline of hypertension what can i do to prevent -PRON- from become chronic, be at the borderline of hypertension what can i do to prevent  from become chronic
what is the cardinal sin of quora,what be the cardinal sin of quora,what be the cardinal sin of quora
why should extreme sports be illegal,why should extreme sport be illegal,why should extreme sport be illegal
how indepnedent are kids in japan,how indepnedent be kid in japan,how indepnedent be kid in japan
what would your life be like without quora,what would -PRON- life be like without quora,what would  life be like without quora
why are the big peaches on same tree as smaller and equaly ripe always sweeter,why be the big peach on same tree as small and equaly ripe always sweeter,why be the big peach on same tree as small and equaly ripe always sweeter
which gives the highest margin for famous brand selling on amazon or own website,which give the high margin for famous brand sell on amazon or own website,which give the high margin for famous brand sell on amazon or own website
when i speak my thoughts run away but when i write my thoughts stay put how do i overcome this,when i speak -PRON- thought run away but when i write -PRON- thought stay put how do i overcome this,when i speak  thought run away but when i write  thought stay put how do i overcome this
why time is slower in space,why time be slow in space,why time be slow in space
how much do i need to study marine enginneeing in canada,how much do i need to study marine enginneeing in canada,how much do i need to study marine enginneeing in canada
why doesnt lucasfilm hire adywan for future star wars special edition release,why do not lucasfilm hire adywan for future star war special edition release,why do not lucasfilm hire adywan for future star war special edition release
are teacher aloud to give you home work for not going on a field trip,be teacher aloud to give -PRON- home work for not go on a field trip,be teacher aloud to give  home work for not go on a field trip
is it okay to ask strangers their age in your country,be -PRON- okay to ask stranger -PRON- age in -PRON- country,be  okay to ask stranger  age in  country
which quotation made you think more and why,which quotation make -PRON- think more and why,which quotation make  think more and why
what are examples of transverse,what be example of transverse,what be example of transverse
what makes a female character a mary sue,what make a female character a mary sue,what make a female character a mary sue
why do indian railways do not maintain tracks to avoid accidents,why do indian railway do not maintain track to avoid accident,why do indian railway do not maintain track to avoid accident
when will this formula be positive,when will this formula be positive,when will this formula be positive
how much money is fu money to you,how much money be fu money to -PRON-,how much money be fu money to 
what do throws and rethrows mean in swift,what do throw and rethrow mean in swift,what do throw and rethrow mean in swift
what are some intellectually stimulating activitiesvideosgamesmovies for a  year old child,what be some intellectually stimulate activitiesvideosgamesmovie for a   year old child,what be some intellectually stimulate activitiesvideosgamesmovie for a   year old child
what is the plot of the book a long way gone by ishmael beah,what be the plot of the book a long way go by ishmael beah,what be the plot of the book a long way go by ishmael beah
at the age  can girls have sex,at the age   can girl have sex,at the age   can girl have sex
what happens if i upload photograph in jee form without name  date on it,what happen if i upload photograph in jee form without name   date on -PRON-,what happen if i upload photograph in jee form without name   date on 
why does my dog adore it when i push her off her feet and onto her side while playing,why do -PRON- dog adore -PRON- when i push -PRON- off -PRON- foot and onto -PRON- side while play,why do  dog adore  when i push  off  foot and onto  side while play
what are the different courses offered by nift for pg,what be the different course offer by nift for pg,what be the different course offer by nift for pg
what are highest paid digital marketing service,what be highest pay digital marketing service,what be highest pay digital marketing service
why do i bob my head when i try to stay awake while im sleepy,why do i bob -PRON- head when i try to stay awake while -PRON- be sleepy,why do i bob  head when i try to stay awake while  be sleepy
what a person canshould do in his leisure time if hes sitting and idle in house,what a person canshould do in -PRON- leisure time if -PRON- s sit and idle in house,what a person canshould do in  leisure time if  s sit and idle in house
what if bjp manages to get  seats less than majority in  willl modi remain pm,what if bjp manage to get   seat less than majority in   willl modi remain pm,what if bjp manage to get   seat less than majority in   willl modi remain pm
 how do i verify that the correct account info is in mail settings on my iphone ,  how do i verify that the correct account info be in mail setting on -PRON- iphone,  how do i verify that the correct account info be in mail setting on  iphone
if islamic terrorism wasnt carried out in the west what would those in the west think about islam,if islamic terrorism be not carry out in the west what would those in the west think about islam,if islamic terrorism be not carry out in the west what would those in the west think about islam
what purpose does the korean war veterans memorial serve,what purpose do the korean war veteran memorial serve,what purpose do the korean war veteran memorial serve
what online broker do you recommend for an american expat living in china it should be mainly able to access chinese exchange markets,what online broker do -PRON- recommend for an american expat live in china -PRON- should be mainly able to access chinese exchange market,what online broker do  recommend for an american expat live in china  should be mainly able to access chinese exchange market
do hashtags work on facebook,do hashtag work on facebook,do hashtag work on facebook
does anyone ever travel to antarctica in july,do anyone ever travel to antarctica in july,do anyone ever travel to antarctica in july
what are the advantages of earning your associates degree in high school,what be the advantage of earn -PRON- associate degree in high school,what be the advantage of earn  associate degree in high school
which part of saskatchewan has the least cold winters,which part of saskatchewan have the least cold winter,which part of saskatchewan have the least cold winter
what should i eat to gain weight in a healthy way,what should i eat to gain weight in a healthy way,what should i eat to gain weight in a healthy way
with the advent of blockchain do you think the goal of a decentralized web be possible,with the advent of blockchain do -PRON- think the goal of a decentralize web be possible,with the advent of blockchain do  think the goal of a decentralize web be possible
if nasa also focused on including a lander on mariner  would the extra weight  cost of using a lander have caused nasa to not have as much equipment specifically for the orbiter part of the spacecraft would the lander have returned decent images,if nasa also focus on include a lander on mariner   would the extra weight   cost of use a lander have cause nasa to not have as much equipment specifically for the orbiter part of the spacecraft would the lander have return decent image,if nasa also focus on include a lander on mariner   would the extra weight   cost of use a lander have cause nasa to not have as much equipment specifically for the orbiter part of the spacecraft would the lander have return decent image
how would a professional domainer do a domain research what tools is he going to use,how would a professional domainer do a domain research what tool be -PRON- go to use,how would a professional domainer do a domain research what tool be  go to use
what actually happens around you when you open the album with your wedding photos or playback your wedding video,what actually happen around -PRON- when -PRON- open the album with -PRON- wedding photo or playback -PRON- wedding video,what actually happen around  when  open the album with  wedding photo or playback  wedding video
what is the story behind the delay in construction of iit delhi market new shopping complex,what be the story behind the delay in construction of iit delhi market new shopping complex,what be the story behind the delay in construction of iit delhi market new shopping complex
are any of the caribbean islands dangerous to visit,be any of the caribbean island dangerous to visit,be any of the caribbean island dangerous to visit
nowadays i see many hate comments and questions which spread hatred about islam as an educated person i feel very bad why doesnt quora ban them,nowadays i see many hate comment and question which spread hatred about islam as an educate person i feel very bad why do not quora ban -PRON-,nowadays i see many hate comment and question which spread hatred about islam as an educate person i feel very bad why do not quora ban 
with all the incidents of hacking why are intra governmental computers even connected to the internet,with all the incident of hacking why be intra governmental computer even connect to the internet,with all the incident of hacking why be intra governmental computer even connect to the internet
what advice would you give to someone who is moving to nakhon ratchasima thailand,what advice would -PRON- give to someone who be move to nakhon ratchasima thailand,what advice would  give to someone who be move to nakhon ratchasima thailand
what are some of the nativism arguments that you have heard made today,what be some of the nativism argument that -PRON- have hear make today,what be some of the nativism argument that  have hear make today
why did ottomans let xll karl stay in ottoman lands in  years,why do othman let xll karl stay in ottoman land in   year,why do othman let xll karl stay in ottoman land in   year
would you share your past embarrassing mistakes with your girlfriend,would -PRON- share -PRON- past embarrassing mistake with -PRON- girlfriend,would  share  past embarrassing mistake with  girlfriend
who is the strongest hokage,who be the strong hokage,who be the strong hokage
what are the few of the best photos of different parts of world,what be the few of the good photo of different part of world,what be the few of the good photo of different part of world
srm or amritha has more placements,srm or amritha have more placement,srm or amritha have more placement
how can i cure dandruff,how can i cure dandruff,how can i cure dandruff
if someone suffers with severe low self esteem issues what are the best waysto learn to love yourself without therepy,if someone suffer with severe low self esteem issue what be the good waysto learn to love -PRON- without therepy,if someone suffer with severe low self esteem issue what be the good waysto learn to love  without therepy
how can i white my teeth,how can i white -PRON- tooth,how can i white  tooth
how did draco malfoy find out about the da coins,how do draco malfoy find out about the da coin,how do draco malfoy find out about the da coin
